Indice,Nombre,FormatoVideo,CodCadenaTv,CasId,PuntoReproduccion
60,M+ LALIGA TV 2,HD,MLIG1,4833,http://2liga-dash-movistarplus.emisiondof6.com/manifest.mpd
61,DAZN LALIGA 2,HD,DAZNL2,5120,http://02daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd
62,LALIGA TV HYPERMOTION 2,HD,MLIGS2,5127,http://2segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd
63,M+ Liga de Campeones,HD,CHAPIO,4594,http://mligacampeones-dash-movistarplus.emisiondof6.com/manifest.mpd
64,M+ Deportes,HD,CPDEP,4592,http://mdeportes-dash-movistarplus.emisiondof6.com/manifest.mpd
65,M+ Deportes 2,HD,ARTHUR,4585,http://2multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
66,M+ Deportes 3,HD,USOP2,4556,http://3multidep-dash-movistarplus.emisiondof6.com/manifest.mpd
67,M+ Ellas V,HD,MELLAV,5093,http://ellasv-dash-movistarplus.emisiondof6.com/manifest.mpd
68,M+ Golf,HD,GOLF+,4584,http://mgolf-dash-movistarplus.emisiondof6.com/manifest.mpd
69,M+ Golf 2,HD,GOLF2,5196,http://2golf-dash-movistarplus.emisiondof6.com/manifest.mpd
70,DAZN F1,HD,MVF1,4608,http://formula1-dash-movistarplus.emisiondof6.com/manifest.mpd
71,DAZN 1,HD,M1SD,4949,http://01dazn-dash-movistarplus.emisiondof6.com/manifest.mpd
72,DAZN 2,HD,M2SD,4950,http://02dazn-dash-movistarplus.emisiondof6.com/manifest.mpd
73,Eurosport 1,HD,ESP,4605,http://eurosport1-dash-movistarplus.emisiondof6.com/manifest.mpd
74,Eurosport 2,HD,ESP2,4580,http://eurosport2-dash-movistarplus.emisiondof6.com/manifest.mpd
75,GOL PLAY,HD,GOL,4577,http://goltv-dash-movistarplus.emisiondof6.com/manifest.mpd
76,Teledeporte,HD,TDEP,4504,http://teledeporte-dash-movistarplus.emisiondof6.com/manifest.mpd
77,Real Madrid TV,HD,REALM,5198,http://realmadrid-dash-movistarplus.emisiondof6.com/manifest.mpd
78,Caza y Pesca,HD,CAZPES,4606,http://cazaypesca-dash-movistarplus.emisiondof6.com/manifest.mpd
79,El Garage TV,SD,GARAGE,5273,http://garagetv-dash-movistarplus.emisiondof6.com/manifest.mpd
80,Ubeat,HD,UBEAT,4886,http://ubeat-dash-movistarplus.emisiondof6.com/manifest.mpd
81,National Geographic,HD,NATGEO,4604,http://geonat-dash-movistarplus.emisiondof6.com/manifest.mpd
82,Nat Geo Wild,HD,NATGW,4610,http://wildnatgeo-dash-movistarplus.emisiondof6.com/manifest.mpd
83,Historia,HD,HIST,4543,http://historia-dash-movistarplus.emisiondof6.com/manifest.mpd
84,Discovery,HD,DCR,4545,http://discovery-dash-movistarplus.emisiondof6.com/manifest.mpd
85,Odisea,HD,ODISEA,4547,http://odisea-dash-movistarplus.emisiondof6.com/manifest.mpd
86,AMC Break,HD,BIOGRA,5097,http://breakamc-dash-movistarplus.emisiondof6.com/manifest.mpd
87,DMAX,SD,DCRMAX,5244,http://dmax-dash-movistarplus.emisiondof6.com/manifest.mpd
88,AMC Crime,SD,CYM,4552,http://crimeamc-dash-movistarplus.emisiondof6.com/manifest.mpd
89,BuenViaje,HD,BUENV,5049,http://buenviaje-dash-movistarplus.emisiondof6.com/manifest.mpd
90,Canal Cocina,HD,CACOC,4506,http://cocina-dash-movistarplus.emisiondof6.com/manifest.mpd
91,Canal Decasa,HD,DECASA,4602,http://decasa-dash-movistarplus.emisiondof6.com/manifest.mpd
92,DKISS,SD,DKISS,5246,http://dkiss-dash-movistarplus.emisiondof6.com/manifest.mpd
93,Divinity,HD,DIVINI,4507,http://divinity-dash-movistarplus.emisiondof6.com/manifest.mpd
94,Nova,HD,NOVA,4601,http://nova-dash-movistarplus.emisiondof6.com/manifest.mpd
95,Mega,HD,MEGA,4558,http://mega-dash-movistarplus.emisiondof6.com/manifest.mpd
96,Ten,SD,TEN,5253,http://tvten-dash-movistarplus.emisiondof6.com/manifest.mpd
97,Enfamilia,HD,PANDA,4510,http://enfamilia-dash-movistarplus.emisiondof6.com/manifest.mpd
98,Baby TV,SD,BABY,4508,http://babytv-dash-movistarplus.emisiondof6.com/manifest.mpd
99,Disney Junior,HD,PLAYDC,4509,http://jrdisney-dash-movistarplus.emisiondof6.com/manifest.mpd
100,NICK JR,HD,NICKJR,4511,http://jrnick-dash-movistarplus.emisiondof6.com/manifest.mpd
101,Nickelodeon,HD,NICK,4512,http://nickelodeon-dash-movistarplus.emisiondof6.com/manifest.mpd
102,Dreamworks,HD,DWSP,4965,http://dreamworks-dash-movistarplus.emisiondof6.com/manifest.mpd
103,Disney Channel,HD,DCH,4599,http://disneychannel-dash-movistarplus.emisiondof6.com/manifest.mpd
104,Boing,SD,BOING,4563,http://boing-dash-movistarplus.emisiondof6.com/manifest.mpd
105,Clan TVE,HD,CLANTV,4611,http://clan-dash-movistarplus.emisiondof6.com/manifest.mpd
106,MTV,SD,MTV,4499,http://espanamtv-dash-movistarplus.emisiondof6.com/manifest.mpd
